Species Name,# species in genus,# WITH gene flow,# WITHOUT,# Left to compute
Achromobacter_xylosoxidans,7,3,0,4
Acinetobacter_calcoaceticus,41,2,9,30
Acinetobacter_pittii,41,2,8,31
Actinomyces_oris,32,2,4,26
Aeromonas_hydrophila,28,5,0,23
Agrobacterium_tumefaciens,7,3,0,4
Bacillus_amyloliquefaciens,148,1,47,100
Bacillus_licheniformis,148,6,45,97
Bacillus_megaterium,148,9,33,106
Bacillus_pumilus,148,37,13,98
Bacillus_subtilis,148,34,0,114
Bacillus_velezensis,148,1,51,96
Bacillus_weihenstephanensis,148,3,45,100
Bacteroides_ovatus,44,1,9,34
Bifidobacterium_bifidum,44,1,21,22
Bifidobacterium_longum,44,1,15,28
Bifidobacterium_pseudocatenulatum,44,1,13,30
Borrelia_burgdorferi,14,1,5,8
Bradyrhizobium_japonicum,21,8,0,13
Burkholderia_cenocepacia,40,5,0,35
Burkholderia_cepacia,40,8,0,32
Burkholderia_multivorans,40,1,11,28
Chlamydia_trachomatis,10,1,2,7
Clostridium_beijerinckii,78,1,21,56
Clostridium_butyricum,78,1,23,54
Corynebacterium_glutamicum,86,1,29,56
Corynebacterium_jeikeium,86,31,0,55
Enterobacter_asburiae,11,5,0,6
Lactobacillus_aviarius,166,3,37,126
Lactobacillus_brevis,166,48,9,109
Lactobacillus_gasseri,166,2,50,114
Lactobacillus_iners,166,2,52,112
Lactobacillus_reuteri,166,1,43,122
Lactococcus_lactis,6,3,0,3
Leptospira_kirschneri,20,1,7,12
Lysinibacillus_sphaericus,12,6,0,6
Mesorhizobium_loti,10,3,0,7
Mycobacterium_africanum,102,1,39,62
Mycobacterium_colombiense,102,11,34,57
Pseudomonas_amygdali,116,1,56,59
Pseudomonas_chlororaphis,116,53,0,63
Pseudomonas_fluorescens,116,34,0,82
Pseudomonas_putida,116,39,0,77
Pseudomonas_stutzeri,116,50,0,66
Rhizobium_leguminosarum,36,10,0,26
Rhodococcus_fascians,30,8,0,22
Staphylococcus_equorum,35,1,15,19
Stenotrophomonas_maltophilia,11,1,0,10
Streptococcus_anginosus,70,2,26,42
Streptococcus_cristatus,70,19,0,51
Streptococcus_equinus,70,16,1,53
Streptococcus_parauberis,70,1,23,46
Streptococcus_pseudopneumoniae,70,22,0,48
Streptomyces_griseus,258,76,0,182
Treponema_denticola,18,1,5,12
Variovorax_paradoxus,2,1,0,1
Vibrio_anguillarum,83,1,26,56
Vibrio_crassostreae,83,2,25,56
Vibrio_cyclitrophicus,83,1,22,60
Vibrio_harveyi,83,9,13,61
Vibrio_splendidus,83,18,5,60
Vibrio_vulnificus,83,1,25,57
Xanthomonas_albilineans,22,1,7,14
Xanthomonas_axonopodis,22,5,5,12




Species with no evidence of gene flow yet*

Species Name,# species in genus,# WITH gene flow,# WITHOUT,# Left to compute
Actinobacillus_pleuropneumoniae,6,0,1,5
Actinomyces_naeslundii,32,0,14,18
Alteromonas_mediterranea,8,0,1,7
Bacillus_anthracis,148,0,50,98
Bacillus_atrophaeus,148,0,47,101
Bacillus_coagulans,148,0,56,92
Bacteroides_uniformis,44,0,12,32
Bartonella_henselae,26,0,5,21
Bordetella_bronchiseptica,12,0,3,9
Borrelia_garinii,14,0,4,10
Burkholderia_stagnalis,40,0,9,31
Burkholderia_ubonensis,40,0,1,39
Clostridium_perfringens,78,0,26,52
Clostridium_sporogenes,78,0,29,49
Comamonas_testosteroni,8,0,1,7
Corynebacterium_diphtheriae,86,0,21,65
Corynebacterium_ulcerans,86,0,31,55
Cronobacter_sakazakii,6,0,2,4
Elizabethkingia_anophelis,3,0,1,2
Enterobacter_aerogenes,11,0,7,4
Flavobacterium_psychrophilum,53,0,22,31
Fusobacterium_necrophorum,11,0,4,7
Fusobacterium_nucleatum,11,0,4,7
Haemophilus_parainfluenzae,12,0,2,10
Haemophilus_parasuis,12,0,5,7
Helicobacter_pullorum,27,0,6,21
Kingella_kingae,2,0,1,1
Lactobacillus_crispatus,166,0,49,117
Lactobacillus_delbrueckii,166,0,40,126
Lactobacillus_helveticus,166,0,54,112
Lactobacillus_kunkeei,166,0,56,110
Lactobacillus_rhamnosus,166,0,48,118
Lactobacillus_salivarius,166,0,46,120
Leptospira_noguchii,20,0,2,18
Mycobacterium_avium,102,0,30,72
Mycobacterium_chelonae,102,0,58,44
Mycobacterium_fortuitum,102,0,44,58
Mycobacterium_kansasii,102,0,43,59
Pseudomonas_denitrificans,116,0,55,61
Pseudomonas_protegens,116,0,43,73
Rhodococcus_erythropolis,30,0,5,25
Rothia_mucilaginosa,2,0,2,0
Ruegeria_mobilis,4,0,4,0
Sinorhizobium_meliloti,5,0,1,4
Staphylococcus_argenteus,35,0,12,23
Staphylococcus_hominis,35,0,8,27
Streptococcus_dysgalactiae,70,0,20,50
Streptococcus_equi,70,0,11,59
Streptococcus_gallolyticus,70,0,17,53
Streptococcus_gordonii,70,0,17,53
Streptococcus_parasanguinis,70,0,24,46
Streptococcus_salivarius,70,0,23,47
Streptococcus_sanguinis,70,0,14,56
Streptomyces_rimosus,258,0,76,182
Sulfolobus_islandicus,4,0,3,1
Vibrio_campbellii,83,0,28,55
Vibrio_nigripulchritudo,83,0,30,53
Xanthomonas_arboricola,22,0,7,15
